morph_index,z1_original_idx,z2_original_idx,z1_image_path,z2_image_path,z1_cosine_sim,z2_cosine_sim
0,24869,11066,/nas-ctm01/datasets/public/ffhq256/24869.png,/nas-ctm01/datasets/public/ffhq256/11066.png,0.4081534147262573,0.3270432949066162
1,7346,49471,/nas-ctm01/datasets/public/ffhq256/07346.png,/nas-ctm01/datasets/public/ffhq256/49471.png,0.518919825553894,0.3812079429626465
2,69614,3980,/nas-ctm01/datasets/public/ffhq256/69614.png,/nas-ctm01/datasets/public/ffhq256/03980.png,0.6307194232940674,0.18333114683628082
3,41107,31636,/nas-ctm01/datasets/public/ffhq256/41107.png,/nas-ctm01/datasets/public/ffhq256/31636.png,0.5508403778076172,0.15183767676353455
4,61660,14212,/nas-ctm01/datasets/public/ffhq256/61660.png,/nas-ctm01/datasets/public/ffhq256/14212.png,0.7167947292327881,0.25258350372314453
5,6136,14789,/nas-ctm01/datasets/public/ffhq256/06136.png,/nas-ctm01/datasets/public/ffhq256/14789.png,0.5564413070678711,0.46192091703414917
6,67985,53770,/nas-ctm01/datasets/public/ffhq256/67985.png,/nas-ctm01/datasets/public/ffhq256/53770.png,0.44086045026779175,0.25358110666275024
7,30889,67004,/nas-ctm01/datasets/public/ffhq256/30889.png,/nas-ctm01/datasets/public/ffhq256/67004.png,0.5407640933990479,0.45178043842315674
8,54530,52694,/nas-ctm01/datasets/public/ffhq256/54530.png,/nas-ctm01/datasets/public/ffhq256/52694.png,0.34587985277175903,0.21995839476585388
9,24104,44738,/nas-ctm01/datasets/public/ffhq256/24104.png,/nas-ctm01/datasets/public/ffhq256/44738.png,0.6811822652816772,0.5760431885719299
10,20273,42147,/nas-ctm01/datasets/public/ffhq256/20273.png,/nas-ctm01/datasets/public/ffhq256/42147.png,0.2133086770772934,0.1107291430234909
11,53274,66082,/nas-ctm01/datasets/public/ffhq256/53274.png,/nas-ctm01/datasets/public/ffhq256/66082.png,0.5752871632575989,0.3935537338256836
12,52206,67163,/nas-ctm01/datasets/public/ffhq256/52206.png,/nas-ctm01/datasets/public/ffhq256/67163.png,0.6460121273994446,0.2891303300857544
13,46596,16045,/nas-ctm01/datasets/public/ffhq256/46596.png,/nas-ctm01/datasets/public/ffhq256/16045.png,0.42163825035095215,0.3018704652786255
14,11308,11937,/nas-ctm01/datasets/public/ffhq256/11308.png,/nas-ctm01/datasets/public/ffhq256/11937.png,0.5106053352355957,0.32819420099258423
15,59029,5998,/nas-ctm01/datasets/public/ffhq256/59029.png,/nas-ctm01/datasets/public/ffhq256/05998.png,0.5507718920707703,0.1504814773797989
16,7497,15460,/nas-ctm01/datasets/public/ffhq256/07497.png,/nas-ctm01/datasets/public/ffhq256/15460.png,0.5398073196411133,0.33980539441108704
17,5260,13829,/nas-ctm01/datasets/public/ffhq256/05260.png,/nas-ctm01/datasets/public/ffhq256/13829.png,0.4381706714630127,0.25304752588272095
18,24534,5104,/nas-ctm01/datasets/public/ffhq256/24534.png,/nas-ctm01/datasets/public/ffhq256/05104.png,0.4834880232810974,0.38851866126060486
19,15169,59630,/nas-ctm01/datasets/public/ffhq256/15169.png,/nas-ctm01/datasets/public/ffhq256/59630.png,0.4958224892616272,0.37581390142440796
20,34634,46118,/nas-ctm01/datasets/public/ffhq256/34634.png,/nas-ctm01/datasets/public/ffhq256/46118.png,0.5436121225357056,0.4829202890396118
21,46007,4384,/nas-ctm01/datasets/public/ffhq256/46007.png,/nas-ctm01/datasets/public/ffhq256/04384.png,0.6441053152084351,0.24042266607284546
22,5594,49890,/nas-ctm01/datasets/public/ffhq256/05594.png,/nas-ctm01/datasets/public/ffhq256/49890.png,0.5437042713165283,0.06446589529514313
23,58344,51648,/nas-ctm01/datasets/public/ffhq256/58344.png,/nas-ctm01/datasets/public/ffhq256/51648.png,0.42453891038894653,0.2966419458389282
24,32500,50108,/nas-ctm01/datasets/public/ffhq256/32500.png,/nas-ctm01/datasets/public/ffhq256/50108.png,0.3241245150566101,0.171189546585083
25,33539,25510,/nas-ctm01/datasets/public/ffhq256/33539.png,/nas-ctm01/datasets/public/ffhq256/25510.png,0.5766153931617737,0.21004682779312134
26,21609,37812,/nas-ctm01/datasets/public/ffhq256/21609.png,/nas-ctm01/datasets/public/ffhq256/37812.png,0.5629721283912659,0.39598190784454346
27,61729,16196,/nas-ctm01/datasets/public/ffhq256/61729.png,/nas-ctm01/datasets/public/ffhq256/16196.png,0.5905109643936157,0.1425551027059555
28,7077,42413,/nas-ctm01/datasets/public/ffhq256/07077.png,/nas-ctm01/datasets/public/ffhq256/42413.png,0.5328375101089478,0.4254654049873352
29,18432,50458,/nas-ctm01/datasets/public/ffhq256/18432.png,/nas-ctm01/datasets/public/ffhq256/50458.png,0.4219552278518677,0.14659054577350616
30,40664,62208,/nas-ctm01/datasets/public/ffhq256/40664.png,/nas-ctm01/datasets/public/ffhq256/62208.png,0.5494226217269897,0.2223856896162033
31,65088,66617,/nas-ctm01/datasets/public/ffhq256/65088.png,/nas-ctm01/datasets/public/ffhq256/66617.png,0.36688172817230225,0.19008100032806396
32,39344,29370,/nas-ctm01/datasets/public/ffhq256/39344.png,/nas-ctm01/datasets/public/ffhq256/29370.png,0.7605890035629272,0.6647782921791077
33,1672,25016,/nas-ctm01/datasets/public/ffhq256/01672.png,/nas-ctm01/datasets/public/ffhq256/25016.png,0.678012490272522,0.11296478658914566
34,42871,66164,/nas-ctm01/datasets/public/ffhq256/42871.png,/nas-ctm01/datasets/public/ffhq256/66164.png,0.5630675554275513,0.49814707040786743
35,10396,33447,/nas-ctm01/datasets/public/ffhq256/10396.png,/nas-ctm01/datasets/public/ffhq256/33447.png,0.29659074544906616,0.13293087482452393
36,48852,22561,/nas-ctm01/datasets/public/ffhq256/48852.png,/nas-ctm01/datasets/public/ffhq256/22561.png,0.5615394115447998,0.500495195388794
37,31894,15397,/nas-ctm01/datasets/public/ffhq256/31894.png,/nas-ctm01/datasets/public/ffhq256/15397.png,0.3489982485771179,0.3480254113674164
38,60986,13594,/nas-ctm01/datasets/public/ffhq256/60986.png,/nas-ctm01/datasets/public/ffhq256/13594.png,0.4438067078590393,0.24818110466003418
39,41711,4238,/nas-ctm01/datasets/public/ffhq256/41711.png,/nas-ctm01/datasets/public/ffhq256/04238.png,0.6603351831436157,0.24435079097747803
40,32423,50027,/nas-ctm01/datasets/public/ffhq256/32423.png,/nas-ctm01/datasets/public/ffhq256/50027.png,0.48156845569610596,0.19140195846557617
41,8995,20226,/nas-ctm01/datasets/public/ffhq256/08995.png,/nas-ctm01/datasets/public/ffhq256/20226.png,0.4555666446685791,0.42851465940475464
42,3864,58884,/nas-ctm01/datasets/public/ffhq256/03864.png,/nas-ctm01/datasets/public/ffhq256/58884.png,0.3961300849914551,0.3261394798755646
43,19111,9588,/nas-ctm01/datasets/public/ffhq256/19111.png,/nas-ctm01/datasets/public/ffhq256/09588.png,0.27996525168418884,0.26918500661849976
44,12553,16503,/nas-ctm01/datasets/public/ffhq256/12553.png,/nas-ctm01/datasets/public/ffhq256/16503.png,0.5796654224395752,0.29164522886276245
45,66187,4372,/nas-ctm01/datasets/public/ffhq256/66187.png,/nas-ctm01/datasets/public/ffhq256/04372.png,0.38673776388168335,0.38006556034088135
46,13402,68675,/nas-ctm01/datasets/public/ffhq256/13402.png,/nas-ctm01/datasets/public/ffhq256/68675.png,0.4516754746437073,0.40488916635513306
47,24193,2037,/nas-ctm01/datasets/public/ffhq256/24193.png,/nas-ctm01/datasets/public/ffhq256/02037.png,0.7455531358718872,0.3869689702987671
48,59215,13448,/nas-ctm01/datasets/public/ffhq256/59215.png,/nas-ctm01/datasets/public/ffhq256/13448.png,0.5843355655670166,0.39454972743988037
49,26730,12926,/nas-ctm01/datasets/public/ffhq256/26730.png,/nas-ctm01/datasets/public/ffhq256/12926.png,0.6241573691368103,0.4186505377292633
50,26903,25763,/nas-ctm01/datasets/public/ffhq256/26903.png,/nas-ctm01/datasets/public/ffhq256/25763.png,0.19466689229011536,0.16671212017536163
51,65663,53394,/nas-ctm01/datasets/public/ffhq256/65663.png,/nas-ctm01/datasets/public/ffhq256/53394.png,0.4834739863872528,0.3751935660839081
52,7890,59831,/nas-ctm01/datasets/public/ffhq256/07890.png,/nas-ctm01/datasets/public/ffhq256/59831.png,0.5858739614486694,0.32870084047317505
53,28624,33336,/nas-ctm01/datasets/public/ffhq256/28624.png,/nas-ctm01/datasets/public/ffhq256/33336.png,0.4849390387535095,0.10671161860227585
54,13297,42438,/nas-ctm01/datasets/public/ffhq256/13297.png,/nas-ctm01/datasets/public/ffhq256/42438.png,0.6751116514205933,0.38325732946395874
55,32630,31974,/nas-ctm01/datasets/public/ffhq256/32630.png,/nas-ctm01/datasets/public/ffhq256/31974.png,0.3087608814239502,0.1839665025472641
56,5839,19710,/nas-ctm01/datasets/public/ffhq256/05839.png,/nas-ctm01/datasets/public/ffhq256/19710.png,0.41451144218444824,0.05996844172477722
57,6969,67298,/nas-ctm01/datasets/public/ffhq256/06969.png,/nas-ctm01/datasets/public/ffhq256/67298.png,0.29522180557250977,0.12360060214996338
58,66701,3045,/nas-ctm01/datasets/public/ffhq256/66701.png,/nas-ctm01/datasets/public/ffhq256/03045.png,0.43646833300590515,0.10948480665683746
59,57007,50516,/nas-ctm01/datasets/public/ffhq256/57007.png,/nas-ctm01/datasets/public/ffhq256/50516.png,0.6728976964950562,0.4087241590023041
