Image1_Path,Image2_Path,Partition
image_02798.jpg,pixabay_wild_000521.jpg,train
image_06548.jpg,flickr_wild_001011.jpg,train
image_04251.jpg,flickr_wild_003528.jpg,train
image_01881.jpg,flickr_wild_002656.jpg,train
image_04618.jpg,flickr_wild_002408.jpg,train
image_05344.jpg,flickr_wild_003906.jpg,train
image_01363.jpg,pixabay_wild_000303.jpg,train
image_02434.jpg,flickr_wild_003318.jpg,train
image_01268.jpg,flickr_wild_000313.jpg,train
image_03272.jpg,flickr_wild_001415.jpg,train
image_00842.jpg,flickr_wild_000162.jpg,train
image_06564.jpg,flickr_wild_000761.jpg,train
image_02070.jpg,flickr_wild_002522.jpg,train
image_04557.jpg,flickr_wild_003884.jpg,train
image_06130.jpg,flickr_wild_000332.jpg,train
image_08165.jpg,pixabay_wild_000294.jpg,train
image_06291.jpg,flickr_wild_000105.jpg,train
image_03010.jpg,flickr_wild_003080.jpg,train
image_02857.jpg,pixabay_wild_000450.jpg,train
image_06749.jpg,pixabay_wild_000881.jpg,train
image_02298.jpg,flickr_wild_000561.jpg,train
image_00889.jpg,flickr_wild_002952.jpg,train
image_08091.jpg,flickr_wild_001612.jpg,train
image_07722.jpg,flickr_wild_000770.jpg,train
image_05536.jpg,flickr_wild_000253.jpg,train
image_08061.jpg,pixabay_wild_000977.jpg,train
image_01982.jpg,flickr_wild_001750.jpg,train
image_01501.jpg,flickr_wild_002507.jpg,train
image_02959.jpg,flickr_wild_003087.jpg,train
image_06339.jpg,pixabay_wild_000578.jpg,train
image_03410.jpg,flickr_wild_002689.jpg,train
image_00487.jpg,pixabay_wild_000045.jpg,train
image_01721.jpg,flickr_wild_002870.jpg,train
image_06513.jpg,flickr_wild_003248.jpg,train
image_07183.jpg,flickr_wild_000444.jpg,train
image_05331.jpg,flickr_wild_000874.jpg,train
image_01501.jpg,flickr_wild_002590.jpg,train
image_00989.jpg,pixabay_wild_000391.jpg,train
image_06886.jpg,pixabay_wild_001143.jpg,train
image_05082.jpg,flickr_wild_000089.jpg,train
image_02766.jpg,flickr_wild_001351.jpg,train
image_07243.jpg,pixabay_wild_000375.jpg,train
image_01888.jpg,pixabay_wild_001236.jpg,train
image_05617.jpg,pixabay_wild_000373.jpg,train
image_00813.jpg,flickr_wild_002894.jpg,train
image_00897.jpg,flickr_wild_001516.jpg,train
image_05612.jpg,flickr_wild_003189.jpg,train
image_02002.jpg,flickr_wild_002972.jpg,train
image_02996.jpg,flickr_wild_002084.jpg,train
image_03805.jpg,flickr_wild_002256.jpg,train
image_05754.jpg,pixabay_wild_001236.jpg,train
image_06105.jpg,flickr_wild_000598.jpg,train
image_07664.jpg,flickr_wild_001924.jpg,train
image_03537.jpg,pixabay_wild_000388.jpg,train
image_04846.jpg,pixabay_wild_000741.jpg,train
image_07867.jpg,pixabay_wild_000878.jpg,train
image_07965.jpg,flickr_wild_002640.jpg,train
image_07812.jpg,flickr_wild_003793.jpg,train
image_05071.jpg,pixabay_wild_000406.jpg,train
image_08066.jpg,flickr_wild_002907.jpg,train
image_05165.jpg,flickr_wild_002390.jpg,train
image_04715.jpg,pixabay_wild_000342.jpg,train
image_00662.jpg,pixabay_wild_001158.jpg,train
image_00163.jpg,flickr_wild_002966.jpg,train
image_06428.jpg,flickr_wild_001973.jpg,train
image_03381.jpg,flickr_wild_003237.jpg,train
image_06535.jpg,flickr_wild_002060.jpg,train
image_02796.jpg,flickr_wild_003507.jpg,train
image_01339.jpg,flickr_wild_000903.jpg,train
