partition,Image1,Image2,AvgPixelIntensity_Image1,AvgPixelIntensity_Image2,SwappedForBrightnessOrdering
train,image_05759.jpg,image_05756.jpg,0.3735719919204712,0.2370862364768982,True
train,image_07874.jpg,image_05756.jpg,0.45225605368614197,0.2370862364768982,True
train,image_01819.jpg,image_05756.jpg,0.323346346616745,0.2370862364768982,True
train,image_07673.jpg,image_05756.jpg,0.27421408891677856,0.2370862364768982,True
train,image_03666.jpg,image_05756.jpg,0.3886049687862396,0.2370862364768982,True
train,image_03394.jpg,image_05723.jpg,0.36225447058677673,0.28229770064353943,True
train,image_05723.jpg,image_02679.jpg,0.28229770064353943,0.19180621206760406,False
train,image_05723.jpg,image_06012.jpg,0.28229770064353943,0.24792778491973877,False
train,image_05216.jpg,image_05723.jpg,0.4114880859851837,0.28229770064353943,True
train,image_06728.jpg,image_05723.jpg,0.4428216516971588,0.28229770064353943,True
train,image_02596.jpg,image_07667.jpg,0.3969449996948242,0.25440236926078796,True
train,image_05375.jpg,image_07667.jpg,0.6244550943374634,0.25440236926078796,True
train,image_02497.jpg,image_07667.jpg,0.3613572418689728,0.25440236926078796,True
train,image_04220.jpg,image_07667.jpg,0.3084311783313751,0.25440236926078796,True
train,image_00884.jpg,image_07667.jpg,0.35629746317863464,0.25440236926078796,True
train,image_05526.jpg,image_03657.jpg,0.4448395073413849,0.34080228209495544,True
train,image_03657.jpg,image_02077.jpg,0.34080228209495544,0.326223224401474,False
train,image_03657.jpg,image_04350.jpg,0.34080228209495544,0.2232169508934021,False
train,image_03247.jpg,image_03657.jpg,0.35010138154029846,0.34080228209495544,True
train,image_05978.jpg,image_03657.jpg,0.4639228582382202,0.34080228209495544,True
train,image_08145.jpg,image_05520.jpg,0.47055649757385254,0.45822468400001526,False
train,image_02582.jpg,image_08145.jpg,0.5514666438102722,0.47055649757385254,True
train,image_08145.jpg,image_03462.jpg,0.47055649757385254,0.4481695890426636,False
train,image_08145.jpg,image_04026.jpg,0.47055649757385254,0.21282188594341278,False
train,image_07657.jpg,image_08145.jpg,0.5335878729820251,0.47055649757385254,True
train,image_05154.jpg,image_02387.jpg,0.4188423156738281,0.26138946413993835,False
train,image_02200.jpg,image_05154.jpg,0.5474106669425964,0.4188423156738281,True
train,image_05154.jpg,image_02569.jpg,0.4188423156738281,0.2492017149925232,False
train,image_03683.jpg,image_05154.jpg,0.5598880648612976,0.4188423156738281,True
train,image_00717.jpg,image_05154.jpg,0.45729532837867737,0.4188423156738281,True
train,image_07348.jpg,image_03495.jpg,0.41412055492401123,0.3756561279296875,True
train,image_03495.jpg,image_04996.jpg,0.3756561279296875,0.2722475230693817,False
train,image_01989.jpg,image_03495.jpg,0.4098711907863617,0.3756561279296875,True
train,image_03181.jpg,image_03495.jpg,0.39908578991889954,0.3756561279296875,True
train,image_03495.jpg,image_06385.jpg,0.3756561279296875,0.2788330018520355,False
train,image_00528.jpg,image_01444.jpg,0.4492161273956299,0.33565524220466614,True
train,image_03030.jpg,image_01444.jpg,0.4305543899536133,0.33565524220466614,True
train,image_00716.jpg,image_01444.jpg,0.3560115396976471,0.33565524220466614,True
train,image_07372.jpg,image_01444.jpg,0.4507427513599396,0.33565524220466614,True
train,image_03874.jpg,image_01444.jpg,0.4644666612148285,0.33565524220466614,True
