partition,Image1,Image2,LPIPS_Image1_to_average,LPIPS_Image2_to_average,SwappedForLPIPSOrdering
train,image_05759.jpg,image_05756.jpg,0.22080612182617188,0.4288896322250366,True
train,image_07874.jpg,image_05756.jpg,0.3188627064228058,0.4442177712917328,True
train,image_05756.jpg,image_01819.jpg,0.3756415545940399,0.3768147826194763,False
train,image_07673.jpg,image_05756.jpg,0.30494531989097595,0.3069411516189575,True
train,image_05756.jpg,image_03666.jpg,0.3136591911315918,0.33761435747146606,False
train,image_03394.jpg,image_05723.jpg,0.29569393396377563,0.4037199914455414,True
train,image_02679.jpg,image_05723.jpg,0.32123255729675293,0.3814921975135803,True
train,image_06012.jpg,image_05723.jpg,0.30632251501083374,0.43181872367858887,True
train,image_05216.jpg,image_05723.jpg,0.30765479803085327,0.45891645550727844,True
train,image_06728.jpg,image_05723.jpg,0.3208104372024536,0.3589898347854614,True
train,image_02596.jpg,image_07667.jpg,0.20569021999835968,0.5595186352729797,True
train,image_05375.jpg,image_07667.jpg,0.4024451673030853,0.44096478819847107,True
train,image_02497.jpg,image_07667.jpg,0.27630814909935,0.41315510869026184,True
train,image_04220.jpg,image_07667.jpg,0.3504464626312256,0.37590277194976807,True
train,image_00884.jpg,image_07667.jpg,0.24719280004501343,0.46091532707214355,True
train,image_03657.jpg,image_05526.jpg,0.416967511177063,0.5049312114715576,False
train,image_03657.jpg,image_02077.jpg,0.2086438536643982,0.5397517681121826,False
train,image_03657.jpg,image_04350.jpg,0.285609632730484,0.5690063238143921,False
train,image_03657.jpg,image_03247.jpg,0.28056803345680237,0.46396827697753906,False
train,image_03657.jpg,image_05978.jpg,0.24588602781295776,0.5555357933044434,False
train,image_05520.jpg,image_08145.jpg,0.29908958077430725,0.4217891991138458,True
train,image_02582.jpg,image_08145.jpg,0.31453201174736023,0.4027723968029022,True
train,image_03462.jpg,image_08145.jpg,0.27337387204170227,0.4637218415737152,True
train,image_08145.jpg,image_04026.jpg,0.2762588858604431,0.4895283877849579,False
train,image_08145.jpg,image_07657.jpg,0.29436707496643066,0.4091174602508545,False
train,image_05154.jpg,image_02387.jpg,0.3757284879684448,0.4222961664199829,False
train,image_05154.jpg,image_02200.jpg,0.3424266576766968,0.44231367111206055,False
train,image_05154.jpg,image_02569.jpg,0.33831655979156494,0.45140764117240906,False
train,image_05154.jpg,image_03683.jpg,0.3653297424316406,0.4311748743057251,False
train,image_00717.jpg,image_05154.jpg,0.37353411316871643,0.41639482975006104,True
train,image_03495.jpg,image_07348.jpg,0.3408735990524292,0.44420185685157776,False
train,image_03495.jpg,image_04996.jpg,0.31239256262779236,0.4519495666027069,False
